Index,Plot,Area(#pixel),Length(#pixel),Width(#pixel),Area(mm2),Length(mm),Width(mm),avg-PAT_R,sum-PAT_R,std-PAT_R,avg-PAT_G,sum-PAT_G,std-PAT_G,avg-PAT_B,sum-PAT_B,std-PAT_B,avg-DIF_R,sum-DIF_R,std-DIF_R,avg-DIF_G,sum-DIF_G,std-DIF_G,avg-DIF_B,sum-DIF_B,std-DIF_B,avg-GLD_R,sum-GLD_R,std-GLD_R,avg-GLD_G,sum-GLD_G,std-GLD_G,avg-GLD_B,sum-GLD_B,std-GLD_B,avg-Band1,sum-Band1,std-Band1,avg-Band2,sum-Band2,std-Band2,avg-Band3,sum-Band3,std-Band3,avg-NDI,sum-NDI,std-NDI,avg-VEG,sum-VEG,std-VEG,avg-Greenness,sum-Greenness,std-Greenness,avg-CIVE,sum-CIVE,std-CIVE,avg-MExG,sum-MExG,std-MExG,avg-NDRB,sum-NDRB,std-NDRB,avg-NGRDI,sum-NGRDI,std-NGRDI,avg-PCA,sum-PCA,std-PCA
1,1,26,8.246211251235321,3.1622776601683795,26.0,8.246211251235321,3.1622776601683795,0.6336498154451493,16.474895201573883,0.01737117875316585,0.4678924183713082,12.165202877654012,0.023910423052190755,0.39719441786084025,10.327054864381846,0.037572694893535874,88.88461538461539,2311.0,14.167478802571111,-59.96153846153846,-1559.0,5.522546578351257,-28.923076923076923,-752.0,19.386599410066495,1.6106931263586124,41.878021285323925,0.20002464129074282,0.7495635960914254,19.48865349837706,0.03313150544489011,0.928910941808332,24.15168448701663,0.1092360904504341,118.61538461538461,3084.0,7.903635595174019,69.0,1794.0,9.298469683853277,79.34615384615384,2063.0,15.67197966900041,88.40698501407113,2298.5816103658494,2.786975695963191,0.671827526864033,17.467515698464858,0.01300637406113135,0.26192965446396005,6.810171016062961,0.003798248016434181,246.66753846153853,6413.356000000002,16.38871269521229,-70.87403846153846,-1842.725,1.4334214174691184,0.3469843888988698,9.021594111370614,0.05485623267585802,-0.30932042957756917,-8.042331169016798,0.021773247624712434,0.1917944837705149,180.14508357221442,1.6426985158347231
2,2,876,16.55294535724685,8.06225774829855,101.0,16.55294535724685,8.06225774829855,0.6557684860697681,574.4531937971169,0.025784416712370428,0.520103793344903,455.610922970135,0.05515276541241809,0.32905891654370895,288.25561089228904,0.06610767234101808,98.13127853881278,85963.0,22.789585034321522,-45.33447488584475,-39713.0,6.874195582532078,-52.79680365296804,-46250.0,27.724629091775356,2.0590886117507985,1803.7616238936996,0.46288460196987075,0.8273791619469558,724.7841458655333,0.09835569059297712,0.7425276314929701,650.4542051878418,0.1827970505368447,101.86187214611873,89231.0,12.141210931688939,54.039954337899545,47339.0,10.52392369132961,51.55251141552512,45160.0,17.539472264013476,84.93033667272456,74398.97492530671,3.5457349362501827,0.6842782064623859,599.4277088610501,0.022932016487245688,0.2635025184894367,230.82820619674655,0.005870431775154334,216.46284360730607,189621.45100000012,18.60581656896961,-66.96982876712332,-58665.57000000002,3.0520727353873496,0.44420659708818316,389.12497904924845,0.08067766061401159,-0.33648174474433934,-294.75800839604125,0.027701054189454555,0.005475845650290775,8458.466187740785,2.1596791650970206
3,3,101,48.83646178829912,30.265491900843113,876.0,48.83646178829912,30.265491900843113,0.6425437665783961,64.896920424418,0.014188640496094656,0.4901701589811199,49.50718605709311,0.033261385080397006,0.3674970117932029,37.11719819111349,0.043981709653393375,94.06930693069307,9501.0,17.520148189697537,-52.15841584158416,-5268.0,5.779329285945957,-41.91089108910891,-4233.0,22.706085462442495,1.7712254839768198,178.8937738816588,0.23280538514615956,0.7814447735803322,78.92592213161355,0.04990660905244044,0.8414945626551927,84.99095082817446,0.13373410970642305,110.03960396039604,11114.0,3.7599262476419786,61.2970297029703,6191.0,4.36127094396146,64.7128712871287,6536.0,12.557461301153497,86.82020620066808,8768.840826267477,2.0654469685797445,0.6774166695114515,68.41908362065661,0.012289763747960068,0.2631060947251825,26.573715567243433,0.0031299028507281806,231.0132722772277,23332.3405,8.391167630054058,-68.80627722772279,-6949.434000000001,1.7548272946463646,0.39291050412910644,39.68396091703975,0.05746769125004067,-0.32171713905728044,-32.493431044785325,0.01613630444202926,0.04702412274373179,852.4409764197263,1.9423663372971045
4,4,618,48.05205510693585,16.492422502470642,618.0,48.05205510693585,16.492422502470642,0.6470682226778227,399.88816161489444,0.017380634014761944,0.49266796273166347,304.468800968168,0.02812962872449234,0.36041501977889084,222.73648222335456,0.04109068366522572,87.20550161812298,53893.0,14.9937905861048,-47.299352750809064,-29231.0,6.1782607366422955,-39.90614886731392,-24662.0,18.192896504598423,1.8172815434358431,1123.079993843351,0.2274999645237518,0.7797913175767839,481.91103426245246,0.04058782205796105,0.8246479438727897,509.6324293133841,0.11910674209546879,99.1537216828479,61277.0,8.448434530706084,54.31877022653722,33569.0,7.595157103881462,56.7831715210356,35092.0,13.458731419793155,85.96539186641105,53126.61217344203,2.5232617887143336,0.6761189277867644,417.84149737222043,0.012653558653588793,0.26251116578020384,162.23190045216597,0.003572405127071947,217.51118122977329,134421.9099999999,14.009248559237646,-65.95901941747582,-40762.67400000005,3.0788222876994062,0.40952309535255943,253.08527292788173,0.0545533004773267,-0.3283953760436622,-202.94834239498326,0.019712982724330728,0.007152375632971741,5460.492693042564,1.7256378838663613
5,5,507,41.30375285612676,14.317821063276353,470.0,41.30375285612676,14.317821063276353,0.6738427671950521,341.6382829678914,0.033037882984639146,0.4895026457403889,248.17784139037715,0.030160212810730107,0.3369362642613765,170.8266859805179,0.05875862582266396,79.13214990138067,40120.0,13.914939253592827,-44.29388560157791,-22457.0,5.298805463495541,-34.83826429980276,-17663.0,16.953163097168005,2.0650107631512884,1046.9604569177031,0.41104149614367497,0.7379687625907028,374.1501626334863,0.030513518066878447,0.8016414974786576,406.4322392216794,0.1457365116959032,81.32347140039448,41231.0,9.152547924567752,40.18145956607495,20372.0,10.643895725384674,43.333333333333336,21970.0,17.00230096196732,82.48065243803619,41817.69078608435,4.194278607727486,0.6559261038365722,332.5545346451421,0.014086323496734035,0.25551526464925434,129.54623917717194,0.005062357708396969,193.02232445759353,97862.31849999992,18.80844264464018,-64.56867455621307,-32736.318000000025,2.899652570258827,0.44715775493256044,226.70898175080814,0.07377845342128207,-0.3556199028278429,-180.29929073371633,0.03276780162287099,0.00908464991955834,4693.373027855932,1.989839619768426
6,6,505,44.41846462902562,13.601470508735444,507.0,44.41846462902562,13.601470508735444,0.666021382100208,336.340797960605,0.03005476889633634,0.5040349941636927,254.53767205266482,0.0323475443942928,0.33201172080775837,167.66591900791798,0.05565386039145454,106.4,53732.0,16.358919812314706,-54.263366336633666,-27403.0,5.459113966702017,-52.13663366336634,-26329.0,20.1312314515751,2.0634555951143407,1042.045075532742,0.4246591941593349,0.7759670486724902,391.86335957960756,0.03863817207667064,0.7667969640262586,387.2324668332606,0.13823654673395974,109.16435643564357,55128.0,9.829371867952611,55.60990099009901,28083.0,11.575336574885425,56.31881188118812,28441.0,18.253857386302293,83.69643765658374,42266.701016574785,4.166652259792605,0.6639777554545724,335.30876650455906,0.015922040008108235,0.2581443780871405,130.36291093400595,0.005697644575901395,222.7841891089107,112506.0154999999,20.09991665310487,-72.63417227722775,-36680.25700000001,2.934289681789646,0.43566693275216706,220.01180103984436,0.07311534618187832,-0.3461215808079402,-174.7913983080098,0.03255197077962973,0.009941871114836041,4776.119316139597,2.04830971569792
7,7,470,40.22437072223753,15.811388300841896,505.0,40.22437072223753,15.811388300841896,0.652008818569517,306.444144727673,0.021351822689803325,0.4829995249033989,227.0097767045975,0.025624052815055653,0.36431514945488663,171.22812024379672,0.04249097096128939,86.48510638297873,40648.0,12.805533689533952,-50.225531914893615,-23606.0,5.292325559094936,-36.259574468085106,-17042.0,16.81592026286423,1.8176230807227305,854.2828479396833,0.25892814974190836,0.7546323978174133,354.67722697418424,0.03398345731259589,0.8493776539980694,399.2074973790926,0.1165271393531134,98.60212765957446,46343.0,6.466377504156112,53.03191489361702,24925.0,7.942951013399714,57.68723404255319,27113.0,13.945564642585945,85.33939298611168,40109.51470347249,2.9762431762201835,0.6660050099378322,313.0223546707811,0.012827179526797855,0.259656746913068,122.03867104914195,0.004046215050201943,216.57290425531926,101789.26500000006,14.146506662325363,-67.3986489361702,-31677.364999999998,2.2274536043951425,0.40441939257110215,190.07711450841802,0.057005599397717446,-0.33328599229600236,-156.6444163791211,0.02325189981422018,0.0091271948514825,3987.3656263299285,1.6984527587083176
8,8,574,45.79301256742124,15.652475842498529,574.0,45.79301256742124,15.652475842498529,0.6613786995658842,379.63137355081756,0.019680623940362605,0.5181478946126453,297.4168915076584,0.035036738544437104,0.3238746339622184,185.90403989431334,0.04830445070481109,118.48257839721255,68009.0,17.801916556177936,-54.76480836236934,-31435.0,5.920090569411467,-63.717770034843205,-36574.0,22.891894048892553,2.0708746352765646,1188.6820406487482,0.3056856631960539,0.8113424081589709,465.71054228324925,0.05236501678296212,0.7303481700028813,419.2198495816539,0.1325163255102681,119.02439024390245,68320.0,5.664803390277297,61.275261324041814,35172.0,7.964698759239924,58.29094076655052,33459.0,16.013627302822552,84.30810450087216,48392.85198350062,2.9768224353520836,0.6749819666345586,387.43964884823663,0.014000181238108502,0.2612800196918564,149.97473130312557,0.003881781114711047,232.47648083623693,133441.5,14.242845765615696,-74.41968815331016,-42716.901000000034,2.3096472886294976,0.4426217334679167,254.0648750105842,0.06497988286985713,-0.3413429335869371,-195.93084387890192,0.02325642527618816,0.008104979303922415,5741.844373374533,2.0901865147237704
9,9,502,44.9221548904324,14.560219778561036,502.0,44.9221548904324,14.560219778561036,0.6505372795148562,326.5697143164578,0.02378897363240304,0.48274707225991076,242.3390302744752,0.03555672679018707,0.3664765027734195,183.97120439225657,0.04923343299668122,93.07370517928287,46723.0,19.917072743504573,-53.962151394422314,-27089.0,5.770560137092831,-39.11155378486056,-19634.0,23.063559889941278,1.8126705127422582,909.9605973966136,0.3187351559359383,0.7573018221306692,380.1655147095959,0.05720745977707769,0.8564275064520055,429.92660823890674,0.14011809993052501,107.1812749003984,53805.0,13.403372946492105,58.169322709163346,29201.0,11.257455039376701,63.1195219123506,31686.0,15.816353222329852,85.74219612910926,43042.58245681285,3.388864232076719,0.6666196984395067,334.6430886166324,0.019596053111889247,0.25982943032116923,130.43437402122694,0.005874391494612677,226.6055976095618,113756.01000000002,19.5508314195497,-69.84548207171308,-35062.431999999964,3.1925638366792604,0.39609004578833235,198.83720298574283,0.06382601728275249,-0.33013909274133435,-165.72982455614985,0.02647550181309937,0.008737183076259487,4154.831214485222,1.9543745929385987
10,10,489,42.579337712087536,14.035668847618199,489.0,42.579337712087536,14.035668847618199,0.6401395264000478,313.02822840962335,0.01729465920779298,0.48977869165954024,239.5017802215152,0.02423521592262428,0.3699019975693179,180.88207681139644,0.037419508186311706,88.6441717791411,43347.0,12.322198523854803,-49.374233128834355,-24144.0,5.943585385438196,-39.26993865030675,-19203.0,16.628404019677745,1.7487093159116651,855.1188554808042,0.2082830827813357,0.7829501273312383,382.8626122649755,0.03462557798575815,0.8420400864270564,411.7576022628306,0.10567921630133359,105.87116564417178,51771.0,7.54060357811331,59.86503067484663,29274.0,8.221013031549562,63.23312883435583,30921.0,14.254294607249875,87.12127555361107,42602.30374571581,2.62568639206459,0.6805277336662899,332.77806176281575,0.012229543680365834,0.2640681136188991,129.12930755964166,0.003620364751348727,227.44810736196314,111222.12449999998,14.928936001340949,-66.63509815950917,-32584.562999999987,2.329800752993036,0.3924742174494837,191.91989233279753,0.05284509721224123,-0.3193650347374134,-156.16950198659515,0.02051317493800461,0.00879072080929519,4123.839040053861,1.606107494757647
