Index,Plot,Area(#pixel),Length(#pixel),Width(#pixel),Area(mm2),Length(mm),Width(mm),avg-PAT_R,sum-PAT_R,std-PAT_R,avg-PAT_G,sum-PAT_G,std-PAT_G,avg-PAT_B,sum-PAT_B,std-PAT_B,avg-DIF_R,sum-DIF_R,std-DIF_R,avg-DIF_G,sum-DIF_G,std-DIF_G,avg-DIF_B,sum-DIF_B,std-DIF_B,avg-GLD_R,sum-GLD_R,std-GLD_R,avg-GLD_G,sum-GLD_G,std-GLD_G,avg-GLD_B,sum-GLD_B,std-GLD_B,avg-Band1,sum-Band1,std-Band1,avg-Band2,sum-Band2,std-Band2,avg-Band3,sum-Band3,std-Band3,avg-NDI,sum-NDI,std-NDI,avg-VEG,sum-VEG,std-VEG,avg-Greenness,sum-Greenness,std-Greenness,avg-CIVE,sum-CIVE,std-CIVE,avg-MExG,sum-MExG,std-MExG,avg-NDRB,sum-NDRB,std-NDRB,avg-NGRDI,sum-NGRDI,std-NGRDI,avg-PCA,sum-PCA,std-PCA
1,1,26,8.246211251235321,3.1622776601683795,26.0,8.246211251235321,3.1622776601683795,0.6336498154451493,16.474895201573883,0.01737117875316585,0.4678924183713082,12.165202877654012,0.023910423052190755,0.39719441786084025,10.327054864381846,0.037572694893535874,88.88461538461539,2311.0,14.167478802571111,-59.96153846153846,-1559.0,5.522546578351257,-28.923076923076923,-752.0,19.386599410066495,1.6106931263586124,41.878021285323925,0.20002464129074282,0.7495635960914254,19.48865349837706,0.03313150544489011,0.928910941808332,24.15168448701663,0.1092360904504341,118.61538461538461,3084.0,7.903635595174019,69.0,1794.0,9.298469683853277,79.34615384615384,2063.0,15.67197966900041,88.40698501407113,2298.5816103658494,2.786975695963191,0.671827526864033,17.467515698464858,0.01300637406113135,0.26192965446396005,6.810171016062961,0.003798248016434181,246.66753846153853,6413.356000000002,16.38871269521229,-70.87403846153846,-1842.725,1.4334214174691184,0.3469843888988698,9.021594111370614,0.05485623267585802,-0.30932042957756917,-8.042331169016798,0.021773247624712434,0.1917944837705149,180.14508357221442,1.6426985158347231
2,2,892,17.0,8.602325267042627,104.0,17.0,8.602325267042627,0.6547857501236302,584.0688891102781,0.02660415789701182,0.5184620935865404,462.46818747919406,0.05600455434649,0.33157891823157426,295.76839506256425,0.06812112068422695,97.30717488789237,86798.0,23.41715274518632,-45.67040358744394,-40738.0,7.275111039997401,-51.63677130044843,-46060.0,28.78983522003945,2.0447832593842525,1823.9466673707534,0.4707949963631654,0.8253871705841195,736.2453561610346,0.09864561948255987,0.749670358744006,668.7059599996534,0.18875615211995578,102.11322869955157,91085.0,12.276411260299218,54.45403587443946,48573.0,10.943859770271127,52.4652466367713,46799.0,18.68657951812349,85.07942064386377,75890.84321432648,3.691382003052871,0.6841688576390885,610.278621014067,0.02284450695954417,0.26349894046259126,235.0410548926314,0.005848717520154463,217.26066367713017,193796.5120000001,19.481013786110946,-66.94326345291482,-59713.39100000002,3.062135113631525,0.4406838534195467,393.0899972502356,0.08410545293759,-0.3353170262198143,-299.1027873880744,0.028838921898850556,0.005377521851829741,8523.867972209771,2.2642741911720297
3,3,104,49.03060268852505,30.59411708155671,892.0,49.03060268852505,30.59411708155671,0.6412462443890428,66.68960941646044,0.01594424857848142,0.4884632787034977,50.80018098516376,0.034259724698058505,0.3704720896291295,38.52909732142947,0.046660620884469435,92.75961538461539,9647.0,18.869233807111925,-52.39423076923077,-5449.0,5.867803725597012,-40.36538461538461,-4198.0,24.111143965262396,1.756221111017885,182.64699554586002,0.24543356092008412,0.7798005798080135,81.09926030003341,0.05022018402585981,0.8499702686755459,88.39690794225677,0.14070556481205992,110.08653846153847,11449.0,3.777744995168508,61.70192307692308,6417.0,4.978569086387071,65.71153846153847,6834.0,13.690025198692235,87.0155391228941,9049.616068780986,2.3431275437376566,0.6775802644698808,70.46834750486761,0.012341048157676397,0.26315356734257506,27.367971003627805,0.0031540364938271825,231.74677884615386,24101.665,9.395624564183635,-68.6455,-7139.1320000000005,1.9877719891298473,0.38878084235618765,40.43320760504351,0.06151789058670125,-0.3201911006023898,-33.29987446264854,0.018305683935450453,0.038771661028021695,865.0963830738115,2.040656236353834
4,4,633,48.05205510693585,17.11724276862369,633.0,48.05205510693585,17.11724276862369,0.6460430578725789,408.9452556333424,0.018428232694112576,0.4910679638474299,310.8460211154231,0.029636283264298607,0.36301419531663565,229.78798563543037,0.04390697635070486,86.35387045813586,54662.0,15.830995903829727,-47.70300157977883,-30196.0,6.677183367287187,-38.65086887835703,-24466.0,19.70340272703883,1.8042039452562755,1142.0610973472224,0.24001003371316385,0.7780573617396161,492.51030998117704,0.04166983060166036,0.832385518380913,526.900033135118,0.12775859521896246,99.4565560821485,62956.0,8.646018844064017,54.770932069510266,34670.0,8.073300167375287,57.78830963665087,36580.0,14.799749874669583,86.12259030173371,54515.59966099744,2.6941913629854,0.6760244304957087,427.92346450378363,0.01259671004951976,0.26249069884539006,166.1566123691319,0.0035540946837688946,218.3981097946286,138246.0034999999,15.02286542352569,-65.95658135860985,-41750.51600000004,3.089670813321702,0.4057582793024278,256.8449907984368,0.05907970134404185,-0.3271672632677043,-207.09687764845683,0.021048370023323437,0.00664606030397069,5521.246869889793,1.854011390850512
5,5,520,42.1070065428546,14.142135623730951,493.0,42.1070065428546,14.142135623730951,0.6718339715341195,349.35366519774215,0.03502347974569632,0.4879565250655646,253.73739303409357,0.031342087330605756,0.3404680503927067,177.0433862042075,0.062080581861836216,78.25,40690.0,14.865130856626033,-44.68076923076923,-23234.0,5.843636856956148,-33.56923076923077,-17456.0,18.523556088870052,2.0439008842340183,1062.8284598016894,0.42681024004995294,0.7376036475920977,383.5538967478908,0.03062846351249838,0.8105603442348237,421.4913790021083,0.15434918092595343,82.03846153846153,42660.0,10.15393356605731,41.06153846153846,21352.0,11.907660007906898,44.76538461538462,23278.0,19.040815316813354,82.77155228370114,43041.2071875246,4.535353642287254,0.6566504620929376,341.4582402883276,0.014966647152149137,0.2557544443411634,132.99231105740498,0.00529111663218298,194.60200384615374,101193.04199999994,21.094427475866713,-64.50683461538463,-33543.55400000001,2.9849743194929728,0.4419991620354023,229.83956425840918,0.07966124207510622,-0.35334724778358556,-183.7405688474645,0.03543245033036918,0.007561060318962748,4745.519483675536,2.128504252844652
6,6,513,44.77722635447622,13.892443989449804,520.0,44.77722635447622,13.892443989449804,0.6650502641163091,341.17078549166655,0.03080853835345915,0.5029236099115219,257.9998118846107,0.033290778414255644,0.3340455242972172,171.3653539644724,0.057535158422334434,105.70370370370371,54226.0,17.155461792779423,-54.50682261208577,-27962.0,5.764755813763078,-51.19688109161793,-26264.0,21.32470197327547,2.0513818050452306,1052.3588659882032,0.43212352090744344,0.7751005423890491,397.6265782455822,0.03898196125873509,0.7722427821034112,396.16054721905,0.14382479975650117,109.4541910331384,56150.0,10.043683679330304,56.05068226120858,28754.0,12.01872177162773,57.15399610136452,29320.0,19.295528388853544,83.8459338904779,43012.96408581516,4.302769156064919,0.6641956146084667,340.7323502941434,0.015925976286150667,0.25822393753004586,132.4688799529135,0.005695655179740326,223.59073586744626,114702.04749999993,20.96697095468351,-72.58226900584798,-37234.70400000001,2.952789835829062,0.4327174514609891,221.98405259948743,0.07623658564910081,-0.3449536414806421,-176.9612180795694,0.03361538403175718,0.008064209839613649,4808.368930341539,2.1406376752730623
7,7,493,40.80441152620633,16.278820596099706,513.0,40.80441152620633,16.278820596099706,0.6497916447800492,320.3472808765643,0.02319644058377862,0.4802597786840865,236.76807089125464,0.027932259558832984,0.36925894585465335,182.0446603063441,0.04714573315767895,84.8580121703854,41835.0,14.581523003001879,-50.92089249492901,-25104.0,6.127766553623295,-33.93711967545639,-16731.0,19.49790911502792,1.7918977840732615,883.4056075481179,0.2783818203130354,0.7522853538777502,370.8766794617309,0.034986929372016404,0.8635923646865815,425.7510357904847,0.13071401134185923,99.25152129817444,48931.0,7.096382439685491,53.99188640973631,26618.0,8.929969545096263,59.65314401622718,29409.0,16.28521695686614,85.67494016390975,42237.745500807505,3.287464814545553,0.6662324257981878,328.45258591850654,0.012758031352736444,0.25973183844087694,128.04779635135233,0.004011938506425024,218.39404969574045,107668.26650000004,16.15915880816479,-67.34665111561861,-33201.898999999976,2.3011819830802858,0.3971971344113073,195.81818726477448,0.06454571275526423,-0.3306645299694551,-163.01761327494137,0.025683318863637134,0.007923811480473343,4079.4386307728673,1.9088133452103433
8,8,587,46.32493928760188,16.1245154965971,587.0,46.32493928760188,16.1245154965971,0.660159719809933,387.5137555284307,0.021124458308270238,0.5162627646304827,303.04624283809335,0.03687459119459448,0.3268777206032123,191.87722199408563,0.051769742372780474,117.3304940374787,68873.0,19.20346913562259,-55.16695059625213,-32383.0,6.443786389618915,-62.16354344122657,-36490.0,24.88879183134292,2.0538956811795686,1205.6367648524067,0.3226654244983128,0.8092814800677548,475.04822879977206,0.05372727100070484,0.7387723343091082,433.65936023944647,0.14258291152345584,119.33730834752981,70051.0,6.1232671222761486,61.8381601362862,36299.0,8.81260762621796,59.50596252129472,34930.0,17.806777088360903,84.50260825105623,49603.03104337001,3.225233387162354,0.6750027239282391,396.2265989458764,0.014063796262621232,0.2613101545311857,153.38906070980602,0.003907186858920616,233.53845911413976,137087.07550000004,15.883501111922202,-74.35128449744472,-43644.204000000056,2.3428557587813055,0.43828196936883274,257.2715160195048,0.070438755090964,-0.3398233730386241,-199.47631997367233,0.025197135837205894,0.007925079792407454,5793.943683046754,2.247411820500509
9,9,525,45.5411901469428,14.866068747318506,525.0,45.5411901469428,14.866068747318506,0.6487000466642623,340.5675244987377,0.024905088230730305,0.48028888443184736,252.15166432671987,0.03666330169355731,0.3707303164118669,194.6334161162301,0.052102468179402034,91.55619047619048,48067.0,20.75763049056338,-54.59809523809524,-28664.0,6.431203411824495,-36.95809523809524,-19403.0,24.70824339385496,1.7900443775511659,939.7732982143621,0.3292258287012455,0.7549746274876229,396.361679431002,0.057263006456740984,0.8686624266360498,456.0477739839261,0.1485689645883316,107.70666666666666,56546.0,13.453470196104064,58.988571428571426,30969.0,11.775352096935476,64.86857142857143,34056.0,17.570425987657643,86.02572871434464,45163.50757503093,3.5917415270848436,0.6667206656575463,350.0283494702118,0.01947765131496007,0.2598686524367707,136.43104252930462,0.00582778941093293,228.17456476190478,119791.6465,20.658261938406284,-69.79897523809521,-36644.461999999985,3.187096297401548,0.3898171222236378,204.65398916740983,0.06901132606454809,-0.327923994419183,-172.1600970700711,0.028060480680350344,0.008353547228424543,4249.052226459728,2.0945627464431413
10,10,507,43.56604182158393,14.317821063276353,507.0,43.56604182158393,14.317821063276353,0.6387266540925851,323.8344136249406,0.018573218710782696,0.48771002655640067,247.26898346409513,0.02614586947634295,0.3733574043901153,189.29220402578844,0.04094435557370369,87.47731755424063,44351.0,13.613319353133605,-49.97830374753452,-25339.0,6.6801778285426225,-37.49901380670612,-19012.0,18.770531139637715,1.7316228613722457,877.9327907157286,0.22319553098925532,0.7807889762822702,395.860010975111,0.03594667479399086,0.8521893854539674,432.06001842516145,0.11654032203459806,106.43984220907298,53965.0,8.095694327342695,60.62130177514793,30735.0,9.038738669055114,64.7810650887574,32844.0,16.187918780604257,87.35087217837234,44286.892194434775,2.8527951755454604,0.6805306901646532,345.02905991347916,0.01217733777683986,0.26406443492587034,133.88066850741626,0.0035980752953911,228.9076163708087,116056.16150000002,16.608789079005003,-66.64205522682443,-33787.52199999998,2.367090801142897,0.3872300295830199,196.32562499859108,0.05867876875218112,-0.3175713111064658,-161.00865473097815,0.02228746230894891,0.007856451352442314,4196.50741643772,1.7749246641334655
11,11,276,39.11521443121589,4.0,276.0,39.11521443121589,4.0,0.6501309631163211,179.43614582010463,0.018249608231113993,0.5008325901139887,138.22979487146088,0.03422043702694055,0.35010871671242916,96.63000581263044,0.04560165171616636,103.3913043478261,28536.0,18.622658313100814,-52.73913043478261,-14556.0,6.0178530860760855,-50.65217391304348,-13980.0,23.78729784469777,1.8828227707991252,519.6590847405586,0.2559017568807515,0.7924664237633637,218.7207329586884,0.05544641823149479,0.7968410101054526,219.92811878910493,0.1365389999837683,113.30072463768116,31271.0,8.087841979211595,61.257246376811594,16907.0,7.675656868280937,61.95289855072464,17099.0,14.05996316005742,85.84107434740092,23692.136519882653,2.662810709422259,0.676794350097166,186.79524062681782,0.017178092267197447,0.26254517600710525,72.46246857796105,0.004870376082341689,231.3533115942029,63853.513999999996,13.357193499997942,-70.75051811594204,-19527.143000000004,2.0907773525838675,0.4130523287845003,114.00244274452209,0.06028270101575137,-0.32936660666092993,-90.90518343841666,0.020803208667361406,0.01673280282082358,2506.0424574184735,1.9943284062348552
12,12,602,45.5411901469428,14.560219778561036,543.0,45.5411901469428,14.560219778561036,0.6753657572184283,406.5701858454938,0.029377582670507243,0.5119927098963605,308.21961135760904,0.04234471789610471,0.3165040973095646,190.53546658035788,0.06311583401165011,108.74086378737542,65462.0,20.538982251925272,-53.70265780730897,-32329.0,6.827705887550435,-55.038205980066444,-33133.0,25.2111390130694,2.2004410575921822,1324.6655166704936,0.45026562886622096,0.7799264893781788,469.51574660566365,0.056953715610089065,0.736698854398245,443.49271034774347,0.16812370624400944,105.33554817275747,63412.0,6.018550954882461,51.18770764119601,30815.0,9.425330703200416,50.74252491694352,30547.0,18.555613247574577,82.30922313885559,49550.15232959106,4.082414612170853,0.6594200046821085,396.9708428186293,0.017087900910321044,0.25609758955451056,154.17074891181537,0.005332579926034217,215.36624418604669,129650.47900000011,16.650298904992336,-73.24924086378742,-44096.04300000003,3.7031511049964547,0.4563490598603224,274.7221340359141,0.08095115321800407,-0.3569591942276919,-214.88943492507053,0.03189386415758479,0.007836250724621496,6015.653623850664,2.4106768341737697
13,13,543,46.32493928760188,15.811388300841896,602.0,46.32493928760188,15.811388300841896,0.654298489835824,355.2840799808524,0.02245960751985035,0.5118624541988043,277.94131262995074,0.038652823814980176,0.3366675042819813,182.81045482511584,0.055178736938068615,115.65745856353591,62802.0,20.614781627117328,-56.1767955801105,-30504.0,7.1715402878333805,-59.48066298342541,-32298.0,27.223633804065138,1.9835024844705422,1077.0418490675045,0.33609443683355705,0.8085426963735556,439.0386841308407,0.05492597589726046,0.7606845023997227,413.05168480304945,0.15215030635933677,122.53222836095765,66535.0,6.527063083268843,65.25414364640883,35433.0,9.983866190976764,64.15285451197053,34835.0,20.050778681576958,85.42517877255557,46385.872073497674,3.509775232818272,0.6780611869608496,368.18722451974133,0.01435126789054973,0.26242170608982746,142.49498640677632,0.004004218262887132,239.50363996316764,130050.47650000003,18.015924248440037,-74.18200920810328,-40280.83100000008,2.3151566406257382,0.4237170087512237,230.07833575191447,0.07652542417079795,-0.33261579083941023,-180.61037442579976,0.02742011900639275,0.007153649883837781,5144.021307369542,2.4298405925231883
14,14,2256,46.84015371452148,15.231546211727817,574.0,46.84015371452148,15.231546211727817,0.6562257649145371,1480.4453256471957,0.02455301970501796,0.49912918534905926,1126.0354421474776,0.034011416597024266,0.3458369835509744,780.2082348909983,0.051370104912335096,100.38253546099291,226463.0,20.159194353338947,-52.37145390070922,-118150.0,6.948478124077434,-48.011081560283685,-108313.0,23.008061366341135,1.9372940947148836,4370.535477676777,0.32801299273824275,0.7804675353921333,1760.7347598446527,0.04925462737157416,0.7948089023715296,1793.0888837501707,0.13913665190406346,108.1706560283688,244033.0,12.704973641979178,57.25265957446808,129162.0,11.14340723663805,58.7061170212766,132441.0,17.67448670577302,84.95988791938264,191669.50714612723,3.5624479106745732,0.6706330345098693,1512.9481258542653,0.01594340138250128,0.260489975619956,587.6653849986208,0.004891687194073447,224.59835062056789,506693.8790000012,20.05853536347051,-70.4647796985815,-158968.54299999986,4.031061416035955,0.4206965184996659,949.0913457352463,0.06879746239254002,-0.3362508756298282,-758.5819754208924,0.0278316243021451,0.0016992618581987075,20640.728272282082,2.110469899377779
15,15,2629,47.53945729601885,15.132745950421556,583.0,47.53945729601885,15.132745950421556,0.6563018546021799,1725.4175757491312,0.030497507745253057,0.4916138429835863,1292.4527932038484,0.03604738910182771,0.35264693531287333,927.108792937544,0.05596259697690209,86.77519969570179,228132.0,20.7348284004059,-47.44313427158615,-124728.0,7.188510669805375,-39.33206542411563,-103404.0,22.36771353833373,1.9125852658638982,5028.186663956189,0.3777944052846413,0.7662481250287724,2014.4663207006427,0.05766902688833383,0.820206424652089,2156.322690410342,0.15174458712498456,96.0038037276531,252394.0,17.839421111474316,51.26435907189045,134774.0,14.182064416057095,53.96804868771396,141882.0,18.451619797237065,84.8674334327818,223116.48249478335,4.081766676603239,0.6694972656188801,1760.1083113120358,0.020789520008694367,0.26009976469617585,683.8022813862462,0.006623174502963335,212.56426759224044,558831.4595000001,25.191361707879604,-66.27965233929262,-174249.2060000003,4.302738284229964,0.4203915286370162,1105.2093287867156,0.07153109616516769,-0.3369731763063964,-885.9024805095161,0.031888802160962806,0.0017642178630453986,23421.410820377758,2.087742522909269
16,16,574,113.84638773364749,49.73932046178355,2256.0,113.84638773364749,49.73932046178355,0.6538467729446342,375.30804767022005,0.019943689073684896,0.5077918300137004,291.47251042786405,0.036681918249374154,0.34046219734121175,195.42530127385555,0.0505004470411235,108.23170731707317,62125.0,19.48376358475261,-53.30836236933798,-30599.0,6.389835659638689,-54.92334494773519,-31526.0,24.962572233339746,1.9530283080763584,1121.0382488358298,0.29794112449840493,0.8011563856297111,459.8637653514542,0.055387681514882006,0.7719938549624619,443.1244727484531,0.14377919598918998,115.08362369337979,66058.0,5.832443512097478,61.23693379790941,35150.0,7.655220373103186,60.698606271777,34841.0,16.078794380162417,85.34121449679655,48985.85712116122,2.9825234372883713,0.6767846829095657,388.4744079900907,0.015422558681425511,0.2622153360860425,150.5116029133884,0.004188562261461059,231.63841114982583,132960.44800000003,13.658843705714,-71.89083449477356,-41265.33900000002,2.462830625243216,0.4235753289359901,243.13223880925833,0.06754999266634204,-0.33327176174377593,-191.2979912409274,0.0233009643538154,0.007008902605024531,5420.804034711823,2.212868072727842
17,17,583,92.78469701410896,76.55716818169282,2629.0,92.78469701410896,76.55716818169282,0.6552358736401981,382.0025143322355,0.022221418517389065,0.5056221328776003,294.77770346764095,0.03701651265028468,0.34111449492146595,198.86975053921466,0.05256669182670871,108.40994854202401,63203.0,19.478053018641493,-54.4442538593482,-31741.0,6.7808045903619565,-53.96569468267582,-31462.0,25.27106270919836,1.958055720309052,1141.5464849401774,0.3164724207209065,0.7948602869944724,463.4035473177774,0.0542636475662157,0.7774329730296595,453.2434232762915,0.14819084371287108,115.48542024013722,67328.0,6.2997762044762915,61.20068610634648,35680.0,8.951701901828871,61.36020583190395,35773.0,17.641384603525395,85.17383778628108,49656.347429401874,3.3510818720607864,0.6740687888380629,392.98210389259066,0.01641455387532334,0.26140535182912394,152.39932011637927,0.0047240984185588615,232.04052058319053,135279.62350000007,15.833675735046333,-72.48145283018869,-42256.687000000005,2.6663250843290225,0.4221168015510967,246.0940953042894,0.07122080212338591,-0.3345793922946785,-195.05978570779754,0.026180327125474894,0.00799070063186088,5458.713951867072,2.2974848501004765
18,18,1965,94.64142856064674,32.55764119219941,1965.0,94.64142856064674,32.55764119219941,0.6660932799643132,1308.8732951298755,0.025600601718857974,0.5273496013396785,1036.2419666324681,0.043849223485777716,0.31229732259927984,613.6642389075848,0.059725559144102595,116.64427480916031,229206.0,19.834869802887738,-52.19389312977099,-102561.0,6.754326733824445,-64.45038167938931,-126645.0,25.357218004808402,2.1867171838026844,4296.899266172275,0.4477123426480972,0.8241366982341634,1619.428612030131,0.0647082057908506,0.7037730301166978,1382.9140041793112,0.15950082722773257,114.03002544529262,224069.0,8.499699994667608,57.75063613231552,113480.0,10.025458983987242,53.66513994910942,105452.0,18.39362736872193,83.65068470880666,164373.5954528051,3.6619894303123868,0.6761936820427287,1328.7205852139618,0.016791573435460595,0.2609345803265764,512.7364503417226,0.005059796934153032,225.63955597964366,443381.7274999998,17.80028406794861,-73.21389720101777,-143865.30799999993,2.718849068095031,0.4577836983618701,899.5449672810747,0.07720038648306257,-0.34647902571245287,-680.8312855249699,0.02860929242431552,0.0020760968196524192,20131.571421972774,2.2373355994073414
