Index,Plot,Area(#pixel),Length(#pixel),Width(#pixel),Area(mm2),Length(mm),Width(mm),avg-PAT_R,sum-PAT_R,std-PAT_R,avg-PAT_G,sum-PAT_G,std-PAT_G,avg-PAT_B,sum-PAT_B,std-PAT_B,avg-DIF_R,sum-DIF_R,std-DIF_R,avg-DIF_G,sum-DIF_G,std-DIF_G,avg-DIF_B,sum-DIF_B,std-DIF_B,avg-GLD_R,sum-GLD_R,std-GLD_R,avg-GLD_G,sum-GLD_G,std-GLD_G,avg-GLD_B,sum-GLD_B,std-GLD_B,avg-Band1,sum-Band1,std-Band1,avg-Band2,sum-Band2,std-Band2,avg-Band3,sum-Band3,std-Band3,avg-NDI,sum-NDI,std-NDI,avg-VEG,sum-VEG,std-VEG,avg-Greenness,sum-Greenness,std-Greenness,avg-CIVE,sum-CIVE,std-CIVE,avg-MExG,sum-MExG,std-MExG,avg-NDRB,sum-NDRB,std-NDRB,avg-NGRDI,sum-NGRDI,std-NGRDI,avg-PCA,sum-PCA,std-PCA
1,1,521,56.462376853972415,13.601470508735444,521.0,56.462376853972415,13.601470508735444,0.5029635857850829,262.0440281940282,0.02340419499994888,0.5051221730198664,263.1686521433504,0.027712222199075574,0.49197205411036415,256.3174401914997,0.03203229384582839,0.2380038387715931,124.0,1.1259353322221077,0.06525911708253358,34.0,0.9208412139471359,-0.30326295585412666,-158.0,1.089193518207696,1.0323046774399467,537.8307369462123,0.14022266559910646,1.0121086087027176,527.3085851341159,0.08937045209446645,0.9798934696027181,510.5244976630161,0.08519534968994893,7.506717850287908,3911.0,2.1499571426001167,7.449136276391554,3881.0,2.228287048279138,7.326295585412668,3817.0,2.2444342551478504,127.2413221937416,66292.72886293937,5.99147287426631,1.0018929041768847,521.9862030761569,0.07287622462745943,0.3340332907883375,174.03134450072383,0.016631863759239102,30.949330810664136,16124.601352356016,3.576843119582503,0.786662295099812,409.8510557470021,0.6704568879996904,0.016055888511879227,8.365117914689078,0.06406457244550094,-0.0059271703613933404,-3.0880557582859303,0.046808381830205546,-0.001848161351108811,-528.8095999763162,0.020328330011243994
2,2,366,48.703182647543684,14.866068747318506,366.0,48.703182647543684,14.866068747318506,0.5029257736213485,184.07083314541356,0.01582184762289208,0.5379073817592062,196.87410172386947,0.05592110780483535,0.45922098482568785,168.07488044620175,0.056505050740601144,1.0136612021857923,371.0,1.3295010095507143,0.7513661202185792,275.0,1.152775596696295,-1.7650273224043715,-646.0,2.060420900901312,1.1281146055959843,412.88994564813026,0.19476971855619873,1.1093317933344757,406.0154363604181,0.188228891600589,0.8726910577128356,319.40492712289785,0.17024319252137213,7.46448087431694,2732.0,2.789048769118147,7.377049180327869,2700.0,2.7619423815302104,6.538251366120218,2393.0,2.7919500211181485,127.25100206134164,46573.86675445104,4.050392403000907,1.0495076012383122,384.1197820532223,0.09975989614026136,0.3475414936913338,127.20018669102816,0.024153141300085137,30.56888688190164,11188.212598776001,4.475093190311025,0.9764181397868843,357.36903916199964,0.6291364517935396,0.08155801180778799,29.850232321650406,0.11301006503246615,-0.005851546395768409,-2.1416659808512377,0.03164369064844457,-0.002789455900569036,-369.6925541411494,0.02994172990701275
3,3,471,45.17742799230607,16.64331697709324,471.0,45.17742799230607,16.64331697709324,0.4397628334617927,207.12829456050434,0.05862920038667403,0.5123754653728378,241.32884419060665,0.03755559564637439,0.548486361767189,258.33707639234603,0.04977592516624058,-2.515923566878981,-1185.0,1.8150295940504653,1.5987261146496816,753.0,1.8229250401639883,0.9171974522292994,432.0,1.8884893819468493,0.8201965764018199,386.31258748525715,0.1481028745310083,1.1491679141991973,541.2580875878219,0.20764052721054316,1.054703997843303,496.7655829841957,0.1579829694809947,5.842887475583864,2752.000001,2.3712600059052518,7.214437369426752,3398.000001,2.335610874267075,6.987261148619957,3291.000001,2.596716672959779,143.42071148588715,67551.15510985284,15.009070949479263,1.2271535554355162,577.9893246101282,0.2978356663321765,0.36559412982592315,172.19483514800982,0.03928851669194466,29.89637637408059,14081.193272191957,3.8196402875432587,2.000184820602973,942.0870505040003,1.1413281332059326,-0.0969727032095702,-45.674143211707566,0.09955182202722977,0.12047430848349326,56.743399295725325,0.11725836679280671,-0.0021662822031329135,-478.2043663029293,0.020482607091144796
4,4,176,26.248809496813376,13.0,176.0,26.248809496813376,13.0,0.46835220223923424,82.42998759410523,0.048031846867128636,0.49288667362185273,86.74805455744608,0.043350524150735,0.539100410320033,94.88167221632581,0.030915403231114073,-1.9375,-341.0,1.5194057226429023,0.2784090909090909,49.0,2.3971549834048713,1.6590909090909092,292.0,2.1099674902512966,0.8711067146589979,153.31478177998363,0.11077176368236276,1.0478852603869016,184.42780582809468,0.1903518247671921,1.0898436379296899,191.81248027562543,0.14475496061512572,7.784090909090909,1370.0,3.096731648177873,8.522727272727273,1500.0,2.615414414960557,8.982954545454545,1581.0,3.3785325482747783,136.10183464365184,23953.922897282726,12.29614983582963,1.0979957735102133,193.24725613779754,0.21837645602844502,0.3444076887273626,60.61575321601582,0.039749747395801185,32.57987095418181,5734.057287935998,4.683196369246357,1.3922103342727281,245.02901883200016,1.2726175673979783,-0.07820080757451132,-13.763342133113992,0.061830790853522534,0.06329558315353004,11.140022635021287,0.09606367059241898,-0.005173665285837572,-178.56600873099543,0.01789521998228249
5,5,330,35.510561809129406,16.55294535724685,330.0,35.510561809129406,16.55294535724685,0.5556895278419339,183.3775441878382,0.032289010984648425,0.46856027865428623,154.62489195591445,0.01880580899328509,0.47541980375216947,156.88853523821592,0.023444844959350824,2.6606060606060606,878.0,1.6292663145108084,-2.803030303030303,-925.0,1.1417649411765578,0.14242424242424243,47.0,1.1419096984491834,1.1644824565379515,384.27921065752395,0.1248373583889086,0.852297091245061,281.2580401108701,0.07518295376100695,1.042720871935996,344.0978877388786,0.06189689234202161,9.83939393939394,3247.0,2.7526779681479097,8.018181818181818,2646.0,2.6989846065392977,9.0,2970.0,2.8015147417932407,113.74348282622033,37535.34933265271,8.265985112691126,0.8300863862221814,273.92850745331987,0.08742595466286306,0.29548405006493456,97.50973652142841,0.02034433101346834,33.08158042387879,10916.92153988,4.425768744712183,-0.984502923303029,-324.8859646899996,0.8599660255744597,0.049160386182092536,16.222927440090537,0.04688968352582968,-0.11137904042015273,-36.7550833386504,0.06457800869289944,-0.003094688792522949,-334.56990285037904,0.022652428032562625
6,6,793,61.465437442517235,18.788294228055936,793.0,61.465437442517235,18.788294228055936,0.4988071957147562,395.55410620180163,0.0396123750388226,0.48524948494722847,384.8028415631522,0.04856722222764294,0.5156737797549643,408.9293073456867,0.051289211474851264,-0.7679697351828499,-609.0,1.8381231282602373,-0.2005044136191677,-159.0,1.8659759044419146,0.9684741488020177,768.0,2.6469930723358077,0.9723823691146222,771.0992187078954,0.172153276096101,0.9747585090447948,772.9834976725223,0.14206863664309172,1.081898754612593,857.9457124077863,0.2254479843372657,7.547288779319041,5985.000002,4.506192550227274,7.736443886506936,6135.000002,4.941003357116895,8.126103407313996,6444.000002,4.7943048426605746,128.30535810092968,101746.14897403723,10.14076496026522,0.9922033568994456,786.8172620212604,0.12610334259221634,0.3267615607590846,259.1219176819541,0.03149669113100251,31.508114502673386,24985.934800619994,7.764280519856837,0.8662624023518254,686.9460850649975,1.3250912557843688,-0.03134755608777923,-24.858611977608927,0.10257840363008582,0.002385610163513706,1.8917888596663688,0.07922472625207203,-0.0012855462569096839,-805.8177773109422,0.014883057361610032
7,7,872,56.43580423808985,17.204650534085253,633.0,56.43580423808985,17.204650534085253,0.5073630045938122,442.4205400058043,0.013367375067689296,0.5171298690654871,450.9372458251047,0.027164091933997957,0.47551579510006736,414.64977332725874,0.02704378181156879,14.704128440366972,12822.0,11.9033601540061,-0.03784403669724771,-33.0,7.859411989437387,-14.666284403669724,-12789.0,12.146840905869684,1.0776562995040404,939.7162931675232,0.07972244143881126,1.034860498416688,902.3983546193521,0.08262862738970804,0.928065011574909,809.2726900933206,0.0946250921513214,107.5711009174312,93802.0,66.64266609807518,102.65711009174312,89517.0,62.30180019264902,97.7809633027523,85265.0,62.658232397231274,126.11507083264108,109972.34176606302,3.4220479413395095,1.0049856180238632,876.3474589168087,0.060250482399211804,0.33727205738217936,294.1012340372604,0.01456256071373611,187.01637319563332,163078.27742659225,103.8759383079957,8.353384281311927,7284.151093304001,4.484776041259381,0.04896840910095297,42.70045273603099,0.0540875622423119,-0.014726009119991099,-12.841079952632239,0.026734749541714918,-0.0011689467686251088,-886.1936947577384,0.015674034370271258
8,8,633,59.81638571495272,20.0,872.0,59.81638571495272,20.0,0.45252313976538155,286.4471474714865,0.06257876477240872,0.5182501301506574,328.05233238536607,0.0522125343026307,0.5303409295755886,335.7058084213476,0.052339137528830355,-1.6240126271721957,-1027.999993,1.4300515300402403,1.394944699842022,882.999995,1.9766663348654876,0.22906792733017378,144.999998,1.7085350038533609,0.8745257529138409,553.5748015944613,0.145586517213734,1582.7661924207864,1001890.9998023579,39714.91420871505,1.6115555479136503,1020.1146618293407,8.696681598272443,5.4518167519747225,3451.0000039999995,1.9539648059976298,6.458135860979463,4088.0,2.087024761321628,6.06951027014218,3842.000001,2.086192301583247,140.15407308749417,88717.52826438381,16.0201551442012,1640.9235648287788,1038704.6165366169,39722.11871791668,0.3639316972252439,230.3687643435794,0.05356450730342346,28.75761064412793,18203.56753773298,3.2243460790844787,1.6612165308751983,1051.5500640440005,1.2216938831047637,-0.060681837497757796,-38.411603136080686,0.10467817149396888,0.09495369599604708,60.105689565497805,0.12515746206407188,-0.0016109896642415946,-641.2593940366309,0.024754665085396643
9,9,695,57.688820407423826,17.204650534085253,695.0,57.688820407423826,17.204650534085253,0.48495839092961374,337.04608169608156,0.035734288711654454,0.4881356723946264,339.25429231426534,0.04094281046926687,0.5269703664823046,366.24440470520165,0.040174499677710175,-0.981294964028777,-682.0,1.3627927496372467,0.041726618705035974,29.0,1.5435127311305041,0.939568345323741,653.0,1.7280845097005662,0.921030626840018,640.1162856538125,0.11372490332896117,1.0031585901918398,697.1952201833286,0.1436766898615172,1.0872549320273641,755.6421777590181,0.18567053739428313,5.776978417266187,4015.0,2.0853830642627846,6.117985611510791,4252.0,2.1519023472321384,6.41726618705036,4460.0,2.2114784942619954,131.85065114269693,91636.20254417436,9.147975794992323,1.0347128822028813,719.1254531310025,0.1556382774522985,0.33434234546204944,232.36793009612435,0.030512516721710882,28.758705952546677,19987.30063701994,3.419281784779133,0.8493583803812942,590.3040743649995,0.9455820679241713,-0.05394072271796641,-37.488802288986655,0.08034898173511555,0.030083212052320205,20.907832376362542,0.0714685608983775,-0.0014670787254643114,-705.8583506553828,0.018000754083063213
10,10,474,50.80354318352215,14.212670403551895,474.0,50.80354318352215,14.212670403551895,0.483976667936686,229.40494060198915,0.03525063197549094,0.479648792954887,227.35352786061642,0.03454163417768275,0.5362980142956076,254.205258776118,0.033897474749031216,-2.229957805907173,-1057.0,1.905983582285319,-0.4641350210970464,-220.0,2.0816104075792614,2.6940928270042193,1277.0,2.4428676255804134,0.8970854541002241,425.21850524350623,0.09508053212609383,0.9822042942146054,465.56483545772295,0.12620764373013427,1.1219277253628996,531.7937418220145,0.15786063789626223,10.964135021097047,5197.0,4.852766902982328,11.552742616033756,5476.0,4.97062710613744,12.60548523206751,5975.0,5.46010187892707,132.10197237334611,62616.334904966054,9.024159834559292,1.0253110353111772,485.99743073749795,0.15162416358511327,0.3308387438509337,156.81756458534258,0.027004462718747044,37.83110712123205,17931.94477546399,8.200446599090009,1.405525423455698,666.2190507180009,1.305043072988343,-0.07259602027397744,-34.410513609865305,0.06779493548518085,0.03204665916676695,15.190116445047536,0.07050124870749445,-0.002152542567753211,-480.3683475649822,0.02318592046582137
